排    行    榜 -- 最近期,,,,,,,,,,
,,,,,,,,,,
,市場別,證期會,TEJ 產業別,交易所,會計,統一編號,國際證券,集團名,公司中文簡稱,公司英文簡稱
,,代碼,,產業別,月份,,編號,,,
,,,,,,,,,,
021301     兆豐期貨,UNPUB,,30,17,12,ID 70745741,,2886  兆豐金控集團,兆豐期貨,MFC
026000     富邦期貨,UNPUB,,30,17,12,ID 16445866,,2881  富邦集團,富邦期貨,Fubon Futures
1101       台泥,TSE,,11,1,12,ID 11913502,TW0001101004,1101  台泥集團,台泥,Taiwan Cement
1102       亞泥,TSE,,11,1,12,ID 03244509,TW0001102002,1402  遠東集團,亞泥,Asia Cement
1103       嘉泥,TSE,,11,1,12,ID 11892801,TW0001103000,1103  嘉新水泥集團,嘉泥,Chia Hsin Cement
1104       環泥,TSE,,11,1,12,ID 07568009,TW0001104008,1440A 侯博義,環泥,Universal Cement
1107       建台,PUB,,99,1,12,ID 03322504,TW0001107001,1414  東和紡織集團,建台,Chien Tai Cement
1108       幸福,TSE,,11,1,12,ID 40601248,TW0001108009,1108  幸福水泥集團,幸福,Lucky Cement
1109       信大,TSE,,11,1,12,ID 03279507,TW0001109007,1109  信大集團,信大,Hsing Ta Cement
1110       東泥,TSE,,11,1,12,ID 83078600,TW0001110005,1110  東南水泥集團,東泥,Tuna Cement
1111       欣欣水泥,PUB,,11,1,12,ID 36513594,TW0001111003,2901  退輔會集團,欣欣水泥,HHCEC
1113       永康,UNPUB,,11,1,12,ID 44571908,TW0001113009,1106  永康集團,永康,Yung Kang Ind. Dev.
1115       和泥,PUB,,11,1,12,ID 53220783,TW0001115004,1714  和桐集團,和泥,Ho Tung Cement
1201       味全,TSE,,12,2,12,ID 11347802,TW0001201002,12844 頂新國際集團,味全,Wei Chuan Foods
1203       味王,TSE,,12,2,12,ID 07067309,TW0001203008,1203  味王集團,味王,Ve Wong
1204       津津,UNPUB,,12,2,12,ID 11493608,TW0001204006,1306  合發集團,津津,Tsin Tsin
1206       台鳳,UNPUB,123355,12,2,12,ID 03555307,TW0001206002,1206  台鳳集團,台鳳,Taiwan Pineapple
1207       嘉食化,UNPUB,,12,2,12,ID 11892605,TW0001207009,9801  力霸東森集團,嘉食化,Chia Hsin Food
1208       和信興,UNPUB,121280,12,2,12,ID 88123962,,無,和信興,All Sincere Ind.
1209       益華,UNPUB,123276,12,2,12,ID 11575002,,1209  益華,益華,Eagle Holding
1210       大成,TSE,,12,2,12,ID 73008303,TW0001210003,1210  大成長城集團,大成,Great Wall
1212       中日,UNPUB,,12,2,12,ID 07046620,TW0001212009,1212  中日集團,中日,Sino Japan Int'l.
1213       大飲,TSE,,12,2,12,ID 35012903,TW0001213007,1213  大飲集團,大飲,Oceanic Beverages
1215       卜蜂,TSE,,12,2,12,ID 36514783,TW0001215002,1215  台灣卜蜂,卜蜂,Charoen Pokphand
1216       統一,TSE,,12,2,12,ID 73251209,TW0001216000,1216  統一集團,統一,Uni-President
1217       愛之味,TSE,,12,2,12,ID 65534366,TW0001217008,1217  耐斯集團,愛之味,AGV Products
1218       泰山,TSE,,12,2,12,ID 59661701,TW0001218006,1218  泰山集團,泰山,Taisun Enterprise
1219       福壽,TSE,,12,2,12,ID 56192402,TW0001219004,1219  福壽集團,福壽,Fwusow Industry
1220       台榮,TSE,,12,2,12,ID 03543210,TW0001220002,1220  台榮集團,台榮,Tairoun Products
1221       久津,UNPUB,,12,2,12,ID 59003799,TW0001221000,1718  中纖集團,久津,Chou-Chin
1222       源益,UNPUB,123646,12,2,12,ID 91734707,TW0001222008,1222  源益集團,源益,Yuan Yi Agriculture
1224       惠勝,UNPUB,,12,80,12,ID 49308202,TW0001224004,1224A 惠順投資,惠勝,Hui Shung
1225       福懋油,TSE,,12,2,12,ID 22102298,TW0001225001,1225  福懋油脂集團,福懋油,Formosa Oilseed
1227       佳格,TSE,,12,2,12,ID 22102473,TW0001227007,1227  佳格集團,佳格,Standard Foods
1228       臺芳,UNPUB,,12,2,12,ID 91729134,TW0001228005,1228  台芳,臺芳,Tai Pharm
1229       聯華,TSE,,12,2,12,ID 11996904,TW0001229003,1229  聯華神通集團,聯華,Lien Hwa Industrial
1230       聯成食品,UNPUB,121055,12,2,12,ID 22544007,TW0001230001,23827 太普科技集團,聯成食品,Ace Foods
1231       聯華食,TSE,,12,2,12,ID 07569627,TW0001231009,1231  聯華食品,聯華食,Lian Hwa Foods
